year,FMSANAME,STATE,instrument,fbnonmex,ushisp,black,age0_14,age15_24,age25_39,age40_54,age55,employed,educ1,educ2,educ3,educ4,dfbnonmex,dushisp,dblack,dage0_14,dage15_24,dage25_39,dage40_54,dage55,demployed,deduc1,deduc2,deduc3,deduc4,popweight,dins,dmexfb_alt,dusbirths,logpc_murder,dlogpc_murder,logpc_rape,dlogpc_rape,logpc_robbery,dlogpc_robbery,logpc_assault,dlogpc_assault,logpc_burglary,dlogpc_burglary,logpc_larceny,dlogpc_larceny,logpc_motor,dlogpc_motor,grp_1,grp_2,grp_3,grp_4,grp_5,grp_6,grp_7,grp_8,grp_9,grp_10,grp_11,grp_12
1980,"Abilene, Texas",TX,8030.268555,0.033647377,0.110363394,0.055825241,0.25121358,0.181432039,0.225525886,0.148260519,0.193567961,0.64834255,0.478026897,0.255156964,0.117713004,0.103587441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111420,NA,NA,NA,2.37677002,NA,3.325850487,NA,4.096556187,NA,4.915743828,NA,7.261464119,NA,8.086645126,NA,5.565186501,NA,0,0,0,0,1,0,0,0,0,0,0,0
1990,"Abilene, Texas",TX,11683.35254,0.032147128,0.127427533,0.065192915,0.242368415,0.144155711,0.250016272,0.160502791,0.202956796,0.630786955,0.36638236,0.256740004,0.230578616,0.104727484,-0.150024891,1.706413984,0.009367675,-0.008845165,-0.037276328,0.024490386,0.012242272,0.009388834,-0.017555594,-0.111644536,0.00158304,0.112865612,0.001140043,111420,3.278661013,0.6229406,2.261712551,1.893020034,-0.405465096,4.335367203,1.087801337,5.055325508,1.03705442,6.298213959,1.460754752,7.294006824,0.110827588,7.848209381,-0.160150602,5.419380665,-0.0675212,0,0,0,0,0,1,0,0,0,0,0,0
2.00E+03,"Abilene, Texas",TX,15400.29004,0.035419516,0.165003523,0.060290039,0.234374449,0.158950448,0.197127715,0.198523477,0.211023912,0.628957987,0.324735969,0.322881877,0.192241982,0.109924674,0.327238798,3.757598877,-0.004902877,-0.007993966,0.014794737,-0.052888557,0.038020685,0.008067116,-0.001828969,-0.041646391,0.066141874,-0.038336635,0.00519719,111420,3.335969687,0.003894977,1.69179678,-0.238638878,-2.079441547,3.522561312,-0.760588467,4.443492413,-0.559615791,5.388982296,-0.85701412,6.717906475,-0.523882866,7.897879601,0.101887219,5.254422665,-0.112740621,0,0,0,0,1,0,0,0,0,0,0,0
1980,"Albuquerque, New Mexico",NM,15025.37109,0.036349129,0.347488821,0.019110363,0.245584518,0.199373886,0.24072516,0.148771137,0.16554527,0.602498233,0.410173148,0.285044312,0.125592664,0.105339102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456780,NA,NA,NA,2.432212114,NA,3.684974909,NA,5.324718475,NA,5.978730202,NA,7.511583805,NA,8.257928848,NA,5.792854309,NA,0,0,1,0,0,0,0,0,0,0,0,0
1990,"Albuquerque, New Mexico",NM,20191.22266,0.037838422,0.33896628,0.022099372,0.233958334,0.130958751,0.274624974,0.178838462,0.181619495,0.645158112,0.306886822,0.262365431,0.23466599,0.118219145,0.148929283,-0.852254033,0.002989009,-0.011626184,-0.068415135,0.033899814,0.030067325,0.016074225,0.042659879,-0.103286326,-0.022678882,0.109073326,0.012880042,456780,1.130927682,0.987316012,1.98344934,2.094958305,-0.287682086,3.787982941,0.152579591,5.40118742,0.126040727,6.781826496,0.852668285,7.664378643,0.202366665,8.532751083,0.324394166,6.091510773,0.348228157,0,0,0,1,0,0,0,0,0,0,0,0
2.00E+03,"Albuquerque, New Mexico",NM,24579.99609,0.040603392,0.355481148,0.022608621,0.231577247,0.136543065,0.210263953,0.221706599,0.199909136,0.62841481,0.286802799,0.312238961,0.193201184,0.124913491,0.276497006,1.651486754,5.09E-04,-0.002381086,0.005584314,-0.064361021,0.042868137,0.018289641,-0.016743302,-0.020084023,0.049873531,-0.041464806,0.006694347,456780,0.960806847,2.128144026,1.955865026,2.043110371,0.343771547,3.736220598,0.343857288,5.517896175,0.512328267,6.428313732,0.042106614,7.152685642,-0.116073675,8.273304939,0.136173949,6.59161377,0.895722508,0,0,1,0,0,0,0,0,0,0,0,0
1980,"Allentown-Bethlehem-Easton, Pennsylvania",PA,20122.33008,0.04188868,0.025575867,0.015221027,0.211636588,0.166016385,0.219397157,0.167517036,0.235432833,0.603908062,0.463646442,0.334655851,0.082164608,0.07907363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501300,NA,NA,NA,0.467407018,NA,2.482310057,NA,4.451750755,NA,4.276843548,NA,6.959646702,NA,7.716533184,NA,5.248629093,NA,0,0,0,0,0,0,0,0,0,0,1,0
1990,"Allentown-Bethlehem-Easton, Pennsylvania",PA,27469.82617,0.041678268,0.043745589,0.01847581,0.205464408,0.124981314,0.247839779,0.177093908,0.244620606,0.63677454,0.353330851,0.333596826,0.169084996,0.098317869,-0.021041185,1.816972136,0.003254783,-0.00617218,-0.041035071,0.028442621,0.009576872,0.009187773,0.032866478,-0.110315591,-0.001059026,0.086920388,0.019244239,501300,1.465688467,0.026709432,0.047875524,0.614361882,0.223143548,2.876124859,0.470003635,4.181073666,-0.194488302,4.852806568,0.652152061,6.559782505,-0.323675662,7.7766819,0.13633731,5.355809689,0.183369219,0,0,0,0,0,0,0,0,0,0,0,1
2.00E+03,"Allentown-Bethlehem-Easton, Pennsylvania",PA,37615.47266,0.053955343,0.068937205,0.024013758,0.207345814,0.114844762,0.202140599,0.227524966,0.248143867,0.627485931,0.314760834,0.377384782,0.1480079,0.106265344,1.227707386,2.519161701,0.005537948,0.001881406,-0.010136552,-0.045699179,0.050431058,0.00352326,-0.009288609,-0.038570017,0.043787956,-0.021077096,0.007947475,501300,2.02386713,0.067107834,0.028725315,0.974360824,0.530628264,2.640957117,-0.064538524,4.493776798,0.483332485,5.01947403,0.337296456,6.166663647,-0.222489312,7.512500763,-0.093551897,5.231224537,0.04604394,0,0,0,0,0,0,0,0,0,0,1,0
1980,"Amarillo, Texas",TX,16255.4834,0.023640662,0.081796691,0.051460702,0.243735477,0.176506534,0.239090577,0.15352647,0.187140942,0.663582265,0.439259976,0.275744796,0.139708877,0.097945854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172560,NA,NA,NA,2.450157404,NA,3.092011452,NA,4.701449394,NA,5.702467918,NA,7.436158657,NA,8.163559914,NA,5.776990414,NA,0,0,0,0,1,0,0,0,0,0,0,0
1990,"Amarillo, Texas",TX,20657.56836,0.024708092,0.103626318,0.045667138,0.250652462,0.130349681,0.25247708,0.1636834,0.202837378,0.64035368,0.363002062,0.247021645,0.253765196,0.098442093,0.106742978,2.182962656,-0.005793564,0.006916985,-0.046156853,0.013386503,0.010156929,0.015696436,-0.023228586,-0.076257914,-0.02872315,0.114056319,4.96E-04,172560,2.551045895,1.075184822,1.425591111,2.562554836,0.182321563,3.632996082,0.610909104,4.901953697,0.270428836,5.869136333,0.236592367,7.541011333,0.174776942,8.541545868,0.44791007,5.807747841,0.100681722,0,0,0,0,0,1,0,0,0,0,0,0
2.00E+03,"Amarillo, Texas",TX,24564.33789,0.028910652,0.146105677,0.056774121,0.244610399,0.145538807,0.20344016,0.20005323,0.206357405,0.640267849,0.325847805,0.308840245,0.209419027,0.105645448,0.420255959,4.247935772,0.011106983,-0.006042063,0.015189126,-0.04903692,0.03636983,0.003520027,-8.58E-05,-0.037154257,0.0618186,-0.044346169,0.007203355,172560,2.264006376,2.053187132,1.443555832,1.71728766,-0.693147182,3.837551117,0.356674939,4.808330059,0.058496207,6.26146841,0.54445231,6.990287304,-0.398604006,8.445318222,0.055891924,6.019097805,0.363469988,0,0,0,0,1,0,0,0,0,0,0,0
1980,"Atlanta, Georgia",GA,145341.9063,0.027189678,0.008107799,0.265682757,0.243909329,0.176964909,0.274721652,0.155968264,0.148435846,0.659107983,0.455366731,0.248182938,0.117213495,0.119798332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1781240,NA,NA,NA,2.820548773,NA,4.082348824,NA,5.976480961,NA,6.198854923,NA,7.860775471,NA,8.438426018,NA,6.50624609,NA,0,0,0,0,0,0,0,0,1,0,0,0
